Study,Study_ID.x,Publication_Year,Type_of_publication,Study_design,Country,Geographical_Context,decade,teacher_type,teacher_count,other_teachers,male,female,gender_NR,White,Black,hispanic,API,american_indian,asian,european,multiracial,race_NR,teacher_age,teaching_years,Teacher_Language_Sample_Teacher_Notes,class_type,total_students,HID_students,avg_group,Were_there_additional_students_in_the_study_sample_outside_of_those_in_the_teacher_language_sample?,primary_HID,HID,disability_status,grade,content,1_Language_Label,1_Study_Definition,1_rate_or_%_of_language_(avg),2_Language_Label,2_Study_Definition,2_rate_or_%_of_language_(avg),3_Language_Label,3_Study_Definition,3_rate_or_%_of_language_(avg),4_Language_Label,4_Study_Definition,4_rate_or_%_of_language_(avg),5_Language_Label,5_Study_Definition,5_rate_or_%_of_language_(avg),6_Language_Label,6_Study_Definition,6_rate_or_%_of_language_(avg),7_Language_Label,7_Study_Definition,7_rate_or_%_of_language_(avg),8_Language_Label,8_Study_Definition,8_rate_or_%_of_language_(avg),9_Language_Label,9_Study_Definition,9_rate_or_%_of_language_(avg),10_Language_Label,10_Study_Definition,10_rate_or_%_of_language_(avg),language_type,language_whom,session_number,session_duration,observation_span,coding_method,sampling_1,sampling_2,coding_system,system_name,Baseline,Receiver,What_was_the_focus_of_the_intervention?,Student_Outcomes,Outcome_Measured,Teacher_Demo,Observational_Measurement,Coder_Training,Teacher_Language,Reliability_Reporting,Reliability_Levels,total_quality,methods_quality
71,Okolo 2007,2007,Published study,Qualitative,1 United States,1 Urban,2000,1 general education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,,,Inclusion,63,13,31,No,No primary,Learning disability; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Social Studies,,,97,,"repeating or para-
phrasing it and then adding additional
information relevant to the topic",.54/min,evaluation,an evaluative comment about the relevance or accuracy of the student’s response or about the appropriateness of his or her behavior.,.65/min,question/prompt,"question or prompt for students to improve their response by clarifying it,
expanding it, or being more specific.",.36/min,single-response- follow-up,"the teacher asked a question, a student responded, and the teacher moved on to
a different topic or question.",.51/min,multiple response-follow up,Not reported,.46/min,reprimands,Not reported,.10/min,,,,,,,,,,Dialogic teaching; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),2,42,2 months,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"IRF Initiation, Response, Feedback based on IRE, or Initiation, Response, and teacher Evaluation(Cazden, 1988)",2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,1,1,1,0,0,3,3
96,Watson 1995,1995,Published study,Descriptive,2 UK,5 Not reported,1990,2 special education teacher,4,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Alternative/Specialized,,8,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Not reported,1,,45,2,"Teachers ask pupils for justification, explanation, ask hypothetical
questions, point out inconsistency and contradiction, suggest learning strategies.",29%,category 3,"Teachers comment on pupil progress, task difficulty and provide general feedback and motivation.
",16%,category 4,"Teachers model reflective thinking, use strategies, make contributions.",6%,category 5,Teachers emphasise individuality and independence in pupils' work.,4%,category 6,"Teachers focus on peer contributions, peer assistance and peer judgements",1%,,,,,,,,,,,,,Explicit instruction; Academic feedback ; Behavioral feedback ; Questioning; Metacognitive; SEL,1 whole group ; 2 target students (pre-determined),,,Not reported,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,0,2,0,0,3,3
245,LaBarbera 2009,2009,Published study,Descriptive,1 United States,5 Not reported,2000,1 general education teacher,,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,14,,No,Autism spectrum disorder,Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,7,,Not reported,0.71%,academic speaking to whole class,Not reported,37.68%,,,,,,,,,,,,,,,,,,,,,,Undefined,1 whole group ; 3 individual students (not pre-determined),,180,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,1,0,0,0,2,2
274,Jordan 2001,2001,Published study,Correlational,3 Canada,5 Not reported,2000,1 general education teacher,9,2 no,45,55,0,0,0,0,0,0,0,0,0,100,,17,,General education,,27,,No,Learning disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA; Math; Science,,,1,,the teacher engaged the student with questions or statements about the academic material and the teacher calibrated his or her questions or statements in accordance with the student’s responses,5.11 avg count,cognitive extension - partial,"the teacher engaged the student with questions or statements about the academic material characterized by a teacher-led agenda in which the student is expected to follow
the teacher’s lead",2.56 avg count,non-academic interaction,"organisational questions and statements concerned with classroom procedures
management statements and questions concerned with student behaviours, status questions and statements, and personal interactions",20.33 avg count,academic interaction,"sum of comprehension monitoring, partial cognitive extension, and full cognitive extensions",9 avg count,,,,,,,,,,,,,,,,Dialogic teaching; Questioning; Instructional; Logistical,2 target students (pre-determined),,45,1 term,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,3 other emotional-behavioral,0,2,0,2,2,1,7,7
292,Swanson 1984,1984,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher,8,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Resource room,54,54,6,Yes,Learning disability,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8); 3 High (9-12),ELA; Reading; Math,,,,,"verbalized Questioning style, verbalized directive",Not reported,Metacognitive training and generalization,"important person, important task information, child evaluation, child model, verbalized task variation, verbalized setting variation, verbalized person variation",Not reported,,,,,,,,,,,,,,,,,,,,,,Questioning; Logistical; Metacognitive,1 whole group ; 3 individual students (not pre-determined),7,60,7 days,1 Live observation and coding,2 Intermittent,3 Interval,1 researcher developed coding system,,2 No,3 NA,,1 yes,6 oral language,0,2,2,2,2,1,9,9
305,Mesa 2023,2023,Published study,Descriptive,1 United States,5 Not reported,2020,3 paraprofessional/paraeducator/aide,94,2 no,3,97,0,77,10,0,0,0,0,0,0,14,,,,Small group,400,400,3,No,Reading disability,Reading disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),ELA,,,9,,Not reported,.03/min,nonspecific praise,Not reported,.05/min,Corrective feedback,"reactive, verbal statements that
discourage or disapprove of a students' behavior",.48/min,specific corrective feedback,Not reported,.36/min,nonspecific corrective feedback,Not reported,.12/min,proactive strategies,"included the use of Rule Review or the Token Economy.
Rule review was defined as reviewing and/or discussing the rules before or during a lesson. Token Economy was defined as referencing the token economy system",.06/min,,,,,,,,,,Explicit instruction; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),4,19,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Bertsch et al., 2017; Christopher & Farran, 2020; Floress et al., 2018; Floress & Jenkins, 2015",2 No,3 NA,,2 no,8 NA,2,2,2,1,2,0,9,7
350,Cook 2010,2010,Published study,Correlational,1 United States,1 Urban; 3 Rural; 4 Suburban,2010,1 general education teacher,14,2 no,7,92,0,100,0,0,0,0,0,0,0,0,,12,,Inclusion,304,13,21,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),ELA; Math; Science; Social Studies,,,,,Not reported,Not reported,functional Instructional,Not reported,Not reported,functional nonInstructional,Not reported,Not reported,social Instructional,Not reported,Not reported,social nonInstructional,Not reported,Not reported,behavioral Instructional,Not reported,Not reported,behavioral nonInstructional,"any teacher statement to a student that referred directly
to the student’s behavior or conduct",Not reported,procedural,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Instructional; Logistical,2 target students (pre-determined),6,36,14 weeks,1 Live observation and coding,2 Intermittent,3 Interval,2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Inclusive Classroom Observation System (ICOS),2 No,3 NA,,2 no,8 NA,2,2,1,1,2,1,9,7
389,Moore 1984,1984,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher; 3 paraprofessional/paraeducator/aide,8,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,,30,,Yes,No primary,Learning disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Academics,,,54,,"disapproval, disruption, commanding, complaining, defensiveness, refusal, and threatening behavior",.17/min,neutral,"answering, Questioning, and neutral (i.e., statements which provided information but did not constitute answers to questions",3.65/min,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Questioning; Teacher talk,2 target students (pre-determined),22,7,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,1 yes,3 other emotional-behavioral,0,2,1,1,2,1,7,7
393,Dorval 1982,1982,Published study,Descriptive,1 United States,5 Not reported,1980,1 general education teacher,12,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,312,12,26,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA; Math,,,2,,"routine matters, inattentiveness, rule infraction",2.9/hr,social overture,"greeting, response to elation/distress, conversation",.15/hr,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; SEL,2 target students (pre-determined),1,,1 day,Other,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,2,1,2,2,1,8,8
425,Hollo 2017,2017,Published study,Descriptive,1 United States,5 Not reported,2010,1 general education teacher; 2 special education teacher,28,2 no,21,78,0,57,28,14,0,0,0,0,0,0,,,,General education; Special education,,124,,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Not reported,,,,,"utterances were classified as fragments, simple, and complex. Additionally, subordination index, or the ratio of clauses to c-units were also calculated.",Not reported,content,"lexical diversity, number of different words, word frequency, function words, lexical density, and number of academic words",Not reported,clarity,"mazes, errors, and abandoned utterances were combined to form an index of disfluency. mental state verbs, figurative language, and ambiguous language were combined to form an index of abstract language.",Not reported,,,,,,,,,,,,,,,,,,,Vocabulary; Linguistic features,1 whole group ; 3 individual students (not pre-determined),3,10,Not reported,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,2,2,2,2,2,2,12,10
